"day","g","w","lambda"
168,0.0562800213062688,0.175329498285681,0.000435118167288741
169,0.0558638528779771,0.172549355437815,0.000431066973230872
170,0.0554474972245026,0.169789933111941,0.000427036998385514
171,0.0550309360207813,0.167051241537557,0.000423028092379727
172,0.0546141511437387,0.164333291846077,0.000419040110701404
173,0.0541971246660299,0.161636096061098,0.000415072914582888
174,0.0537798388498062,0.158959667088963,0.000411126370887052
175,0.0533622761404947,0.156304018709644,0.000407200351995727
176,0.0529444191605842,0.153669165567931,0.000403294735700343
177,0.0525262506926377,0.151055123165461,0.000399409404994953
178,0.0521077537183846,0.14846190785081,0.000395544248391355
179,0.0516889113407162,0.145889536813464,0.000391699159149507
180,0.0512697068279771,0.14333802807558,0.000387874035646486
181,0.0508501235942128,0.140807400484741,0.000384068781151662
182,0.0504301451927594,0.13829767370702,0.000380283303728319
183,0.0500097553097629,0.135808868220372,0.000376517516136773
184,0.0495889377576162,0.133341005308351,0.000372771335738867
185,0.0491676764683033,0.130894107054159,0.000369044684403781
186,0.0487459554866355,0.128468196335029,0.000365337488415031
187,0.0483237589633697,0.126063296816954,0.00036164967837861
188,0.0479010711481936,0.123679432949765,0.000357981189132153
189,0.0474778763825652,0.12131662996256,0.000354331959655066
190,0.0470541590923914,0.118974913859504,0.000350701932979529
191,0.0466299037805329,0.116654311416001,0.000347091056102299
192,0.0462050950191178,0.114354850175241,0.00034349927989724
193,0.0457797174416508,0.112076558445153,0.000339926559028498
194,0.0453537557348994,0.109819465295748,0.00033637285186427
195,0.0449271946305417,0.107583600556886,0.000332838120391068
196,0.0445000188965572,0.105368994816473,0.000329322330128446
197,0.0440722133283428,0.103175679419089,0.000325825450044096
198,0.0436437627395335,0.101003686465088,0.000322347452469263
199,0.0432146519525097,0.098853048810159,0.000318888313014416
200,0.0427848657885672,0.0967238000653788,0.000315448010485116
201,0.0423543890577302,0.0946159745977762,0.000312026526798011
202,0.0419232065481825,0.0925296075314167,0.000308623846896914
203,0.0414913030152924,0.0904647347490364,0.000305239958668901
204,0.0410586631702065,0.0884213928942427,0.000301874852860368
205,0.0406252716844409,0.0863996193734861,0.000298528523119601
206,0.0401911130744974,0.0843994523637755,0.000295200965121186
207,0.0397561719450246,0.0824209308082906,0.000291892178446742
